source_type,heading,src,bucket,format,program,program_hint,publish_date,tier,slug
product,Episode 1 | What Are Transatlantic Relations Today?,directus,programs,,RE-TAG (was fake category: Podcasts),,2022-01-11,archive (3y+),episode-1-what-are-transatlantic-relations-today
product,"Episode 2 | Online Platform Regulation, Content Moderation, & Free Speech",directus,programs,,RE-TAG (was fake category: Podcasts),,2022-03-03,archive (3y+),episode-2-online-platform-regulation-content-moderation-free-speech
product,Episode 3 | Transatlantic Security,directus,programs,,RE-TAG (was fake category: Podcasts),,2022-04-20,archive (3y+),episode-3-transatlantic-security
product,Episode 4 | Change Beyond Climate,directus,programs,,RE-TAG (was fake category: Podcasts),,2022-11-09,archive (3y+),episode-4-change-beyond-climate
product,Episode 5 | Transatlantic Generational Divide,directus,programs,,RE-TAG (was fake category: Podcasts),,2022-12-19,archive (3y+),episode-5-transatlantic-generational-divide
product,How to Fix Democracy,directus,programs,,Democracy,How to Fix Democracy,2020-05-30,archive (3y+),how-to-fix-democracy
product,Intro to crowdsourced forecasting - 1,directus,programs,,RE-TAG (was fake category: Podcasts),,2023-03-01,archive (3y+),intro-to-crowdsourced-forecasting-1
product,"Partner, Competitor, or Rival: The Transatlantic Relationship with China - 6",directus,programs,,RE-TAG (was fake category: Podcasts),,2024-01-23,active,partner-competitor-or-rival-the-transatlantic-relationship-with-china-6
product,RANGE,directus,programs,,Transatlantic Relations & Global Challenges,RANGE,2022-06-27,archive (3y+),range
product,Season 4 Special Episode | Moisés Naím,directus,programs,,RE-TAG (was fake category: Podcasts),,2023-03-06,archive (3y+),season-4-special-episode-mois-s-na-m
product,"Season 5, Episode 10 | Carol Anderson",directus,programs,,RE-TAG (was fake category: Podcasts),,2024-02-14,active,season-5-episode-10-carol-anderson
product,"Season 5, Episode 11 | Sarah Snyder",directus,programs,,RE-TAG (was fake category: Podcasts),,2024-03-04,active,season-5-episode-11-sarah-snyder
product,"Season 5, Episode 12 | James Traub",directus,programs,,RE-TAG (was fake category: Podcasts),,2024-03-18,active,season-5-episode-12-james-traub
product,"Season 5, Episode 13 | Jeffrey Rosen",directus,programs,,RE-TAG (was fake category: Podcasts),,2024-04-03,active,season-5-episode-13-jeffrey-rosen
product,"Season 5, Episode 14 | James Kirchick",directus,programs,,RE-TAG (was fake category: Podcasts),,2024-05-08,active,season-5-episode-14-james-kirchick
product,"Season 5, Episode 15 | Jacob Heilbrunn",directus,programs,,RE-TAG (was fake category: Podcasts),,2024-06-05,active,season-5-episode-15-jacob-heilbrunn
product,"Season 5, Episode 2 | Edward Larson",directus,programs,,RE-TAG (was fake category: Podcasts),,2023-06-08,archive (3y+),season-5-episode-2-edward-larson
product,"Season 5, Episode 6 | Richard Norton Smith",directus,programs,,RE-TAG (was fake category: Podcasts),,2023-09-20,active,season-5-episode-6-richard-norton-smith
product,"Season 5, Episode 7 | Allida Black",directus,programs,,RE-TAG (was fake category: Podcasts),,2023-11-13,active,season-5-episode-7-allida-black
product,"Season 5, Episode 9 | Kevin Baker",directus,programs,,RE-TAG (was fake category: Podcasts),,2023-12-13,active,season-5-episode-9-kevin-baker
product,Summer Enrichment Series,directus,programs,,Future Leadership,Summer Enrichment Series,2022-03-31,archive (3y+),summer-enrichment-series
product,The 21st Century Space Race: Geopolitical Competition or Cooperation? - 4,directus,programs,,RE-TAG (was fake category: Podcasts),,2023-07-20,archive (3y+),the-21st-century-space-race-geopolitical-competition-or-cooperation-4
product,Transatlantic Barometer,directus,programs,,Transatlantic Relations & Global Challenges,Transatlantic Barometer,2022-06-28,archive (3y+),transatlantic-barometer
product,Transatlantic Periscope,directus,programs,,Transatlantic Relations & Global Challenges,Transatlantic Periscope,2022-04-04,archive (3y+),transatlantic-periscope
super_product,Bridging the Atlantic,directus,programs,,RE-TAG (was fake category: Podcasts),,,unknown (no publish_date),bridging-the-atlantic
super_product,City Solutions Series,directus,programs,,Democracy,City Solutions Series,,unknown (no publish_date),city-solutions-series
super_product,Editions,contentful,programs,,RE-TAG (no workstream),,,unknown (no publish_date),editions
super_product,Episodes:,contentful,programs,,RE-TAG (no workstream),,,unknown (no publish_date),episodes
super_product,How to Fix Democracy,directus,programs,,RE-TAG (was fake category: Podcasts),How to Fix Democracy,,unknown (no publish_date),how-to-fix-democracy
super_product,Latest Episodes,contentful,programs,,RE-TAG (no workstream),,,unknown (no publish_date),latest-episodes
super_product,Leadership in Action,directus,programs,,Future Leadership,Leadership in Action,,unknown (no publish_date),leadership-in-action
super_product,Summer Enrichment Series,directus,programs,,Future Leadership,Summer Enrichment Series,,unknown (no publish_date),summer-enrichment-series
super_product,Summer Enrichment Series (SES),contentful,programs,,RE-TAG (no workstream),Summer Enrichment Series,,unknown (no publish_date),summer-enrichment-series-ses
super_product,The Bertelsmann Foundation Fellowship,directus,programs,,Future Leadership,Fellowship (BFF),,unknown (no publish_date),the-bertelsmann-foundation-fellowship
super_product,Wisdom of the Crowd,directus,programs,,RE-TAG (was fake category: Podcasts),,,unknown (no publish_date),wisdom-of-the-crowd
